# Richnesses and Velocity Dispersions for C4 Clusters
# HaloID, Richness, Vel_Disp, Nspec
338	338	1248.89573405	290
1397	243	836.675306975	127
99	381	939.675822639	357
50	398	916.01549796	374
296	348	1213.70796414	291
86	386	887.871861497	355
45	395	939.828914855	370
1363	267	939.875904946	146
340	327	1255.3334842	279
1408	255	950.156415217	141
59	377	890.094183004	354
41	398	912.648794419	363
78	377	966.789725097	343
1251	231	999.562636415	119
295	332	1277.64041745	284
32	405	893.601804317	374
53	388	895.840482923	356
280	332	1240.18443351	275
306	322	1255.56618378	274
34	404	925.591890522	374
1157	202	1058.80139023	140
227	350	1168.68705978	265
1311	261	951.333758339	138
47	377	955.018729588	339
64	360	903.550429244	334
26	400	889.24655052	348
24	405	874.623764555	373
1411	151	784.278012279	79
1334	237	1057.55042904	132
1510	64	1026.87997601	41
218	321	1288.73817436	260
974	215	1063.79597986	130
251	327	1230.1379622	257
23	383	878.638771669	357
1424	229	1958.5359784	158
180	211	704.528607585	191
2054	112	672.807755085	38
860	236	1025.84557221	119
82	335	858.550368501	295
2228	137	756.228577614	29
237	341	1189.77339797	249
1155	186	1002.88565382	97
1220	198	1099.55789143	103
157	205	650.609746178	189
2175	129	791.563554681	26
1400	141	760.128146339	77
275	309	1269.24938259	252
1036	232	1288.66517508	130
2051	81	623.60157847	27
2110	142	756.691619678	29
1916	159	1161.00135273	96
175	349	1221.66931714	264
1059	205	1228.53392317	115
2067	100	747.475824247	24
1102	186	1228.79085967	107
1165	202	961.446904808	104
1126	181	1236.28879641	103
986	194	979.977113484	102
262	309	1212.49587224	250
204	169	757.382775488	164
411	278	1290.60813918	206
186	170	717.385741032	162
937	235	1273.85448464	129
1013	193	1093.35634354	99
799	201	1286.75292427	130
114	197	695.268566731	182
2040	138	1103.938386	76
1877	145	1076.02316982	83
949	199	1044.028535	94
2183	116	768.71773697	26
1593	128	1119.37814444	66
1033	175	1160.41317361	95
1406	115	1279.75215039	76
1420	206	1610.51618286	118
1966	162	1114.24966124	90
106	171	737.609318375	170
410	210	973.431223258	167
143	165	683.768194478	155
184	172	747.397688222	159
1376	151	791.735955811	88
2022	120	866.334652802	31
177	165	746.010928315	155
1146	117	637.790617286	74
168	135	624.220987524	118
1367	121	994.066343024	76
2017	121	807.170487476	45
1239	157	857.881581345	98
270	224	1189.31161033	208
1112	132	1030.35523086	101
215	157	994.110134925	178
1256	124	1397.22251033	76
921	133	754.910358028	86
2016	124	816.840360963	46
967	133	764.049425701	89
1158	118	679.68392609	78
936	140	773.888707654	90
1290	123	843.748852569	56
317	201	938.960230162	172
302	192	913.655048861	168
1961	165	1176.2201107	98
247	163	792.994373957	152
1140	105	662.040054999	73
1121	118	657.334437356	76
2314	123	997.696922984	43
1374	126	838.970854275	79
925	121	731.273611769	79
465	285	1290.60356035	164
1567	125	1147.13827701	68
1111	123	890.194112534	79
414	289	1281.0043396	192
1041	123	897.725349212	83
1252	119	813.51973028	54
1010	124	781.461350453	84
201	189	1105.32808969	185
1170	141	811.702156563	82
1083	124	921.889935325	82
956	124	907.114953644	83
134	166	770.74327227	152
303	153	703.41709653	131
1230	122	993.03669515	77
866	121	765.532126747	81
1898	116	1095.34135061	45
311	166	820.162449927	152
267	165	800.769197915	146
110	296	939.657794006	268
1222	137	820.779056702	82
210	120	594.770851632	111
823	124	772.150598192	86
932	121	767.231668629	79
154	160	755.225302071	145
1680	109	1110.41011495	60
90	164	705.322206027	148
1233	113	994.937487476	73
2184	124	2141.7687632	33
197	120	582.435944257	113
209	145	760.981724307	137
221	106	658.955154341	102
1352	122	655.187925517	45
1195	127	835.82772571	83
1213	132	1405.15567516	81
948	114	839.488891253	78
1693	289	1851.13866461	74
1234	103	671.279056746	69
172	123	602.139791956	115
963	114	850.897578978	79
489	119	633.554184131	84
537	123	659.084419098	89
1174	101	724.448428605	71
535	119	633.244031545	86
548	121	633.08017978	89
935	107	586.037828339	64
514	128	622.52143096	93
1068	116	655.466280633	73
146	123	599.361189745	112
1090	119	983.832251758	77
954	109	895.322351394	78
2237	77	692.311523317	29
883	113	838.604154515	77
890	112	864.588082322	80
701	108	814.791523584	75
876	118	864.257017322	71
109	127	614.601655362	113
1479	89	822.108640773	49
1494	99	727.064127744	50
809	112	1886.94906563	83
